population,max,mean
ESC97,402,0.7892530726469097
CMD97B,421,3.2725238028235073
WVT97,234,3.8393583790628956
MFL97,239,3.816741017686564
RVA97,656,7.782102778168629
SVT09,791,8.688929358714079
CMD10,565,6.520090320073435
SNC10,542,6.5182976765585465
JFL10,577,7.806115410471679
CMA97,800,8.010906573219785
HMA09,849,10.591319892527153
HMA17,860,8.584787991271739
MCT09,849,8.080166882193053
MCT17,866,6.406136851438666
MCT97,550,6.601819980747798
